itemId,shopId,title,brand,cat_id,models_count,is_pre_order,price_min_twd,price_max_twd,price_mid_twd,discount_pct,shipping_fee_min_twd,is_free_shipping,is_service_by_shopee,rating_avg,rating_count,comment_count,liked_count,is_official_shop,shop_name,shop_location,shop_rating,shop_follower_count,shop_item_count,shop_response_rate,shop_response_time,is_shopee_verified,price_bucket,discount_band,rating_tier,engagement_tier,review_bucket
2328800,156554,六協5孔刮絲器台灣製,Unknown,100636,1,false,120.0,120.0,120.0,0.0,-1.0,true,false,5.0,9,9,21,false,宜承廚房烘焙(訂單金額不含運滿$100才出貨）,臺北市大同區,4.966552734375,3848,858,73.0,5603,false,2. TWD 100-499,1. No Discount,4. Average,4. Low Engagement,3. 5-19
2912567,121183,»2入更便宜 公司貨三菱 抗菌消臭紙袋 歌林.三星.東元 集塵袋 MP-3/MP3紙袋 日本製吸塵器專用集塵紙袋~,MITSUBISHI 三菱,100010,2,false,283.0,540.0,411.5,0.0,-1.0,false,false,4.964824199676514,597,602,165,false,買家電找我，甜甜價,高雄市三民區,4.9792070388793945,1602,175,65.0,11282,false,2. TWD 100-499,1. No Discount,1. Top Rated,3. Growing (100-499),5. 50+
4974122,2037372,【特品屋】滿千免運 台灣製 43L 平板 LF0091 抽屜整理箱 整理箱 置物箱 衣物箱 收納箱 抽屜箱,Unknown,100636,1,false,680.0,680.0,680.0,0.0,12000000.0,true,false,4.807692527770996,26,26,81,false,特品屋居家生活館,新北市蘆洲區,4.960177898406982,6359,1608,99.0,4983,false,3. TWD 500-999,1. No Discount,2. Well Rated,4. Low Engagement,4. 20-49
5861740,1452270,【東京速購】日本Pelican 沛麗康 For Back  背中 背部專用石鹼潔膚香皂,Unknown,100630,1,false,149.0,149.0,149.0,0.0,-1.0,true,false,5.0,22,22,20,false,東京速購日韓商品店,臺中市北屯區,4.9756269454956055,16686,3638,100.0,10371,true,2. TWD 100-499,1. No Discount,2. Well Rated,4. Low Engagement,4. 20-49
7806700,190021,(公司貨) Thermos 膳魔師 不銹鋼真空保溫瓶/運動保冷瓶 運動水壺 600ML FFQ-600 吸管瓶,THERMOS 膳魔師,100636,2,false,699.0,699.0,699.0,0.0,-1.0,false,false,5.0,25,23,80,false,Thermos 膳魔師 康寧 樂扣 仙德曼 太和工房 公司貨,高雄市新興區,4.966991901397705,4920,1059,97.0,6933,true,3. TWD 500-999,1. No Discount,2. Well Rated,4. Low Engagement,4. 20-49
8732281,227477,西雅圖 焦糖 瑪琪朵 英倫 奶茶 藍山 濾掛 奧地利 拿鐵  抹茶 拿鐵 草莓 歐蕾 小7版 7-11 濃奶茶,BARISTA COFFEE 西雅圖極品咖啡,100629,19,false,14.0,15.0,14.5,0.0,-1.0,false,false,5.0,257,269,95,false,小可A柑仔店,臺南市永康區,4.959690093994141,1105,170,,0,false,1. Under TWD 100,1. No Discount,1. Top Rated,4. Low Engagement,5. 50+
11710539,2608227,健康本味 魷魚排片 魷魚條 鱈魚條 炭烤魷魚條 碳烤 魷魚絲  尤魚條 古早味 名產,健康本味,100629,1,false,149.0,149.0,149.0,53.0,-1.0,true,false,4.926900386810303,342,340,81,true,健康本味 - 辦公室團購零食、堅果、蔬果脆片、蒟蒻乾、韓國泡麵、柚子茶,新北市新莊區,4.94229793548584,70604,349,70.0,12559,false,2. TWD 100-499,6. 50%+,1. Top Rated,4. Low Engagement,5. 50+
12151307,2429857,三五購物 夏季必備 前檔 雙面銀氣泡棉汽車擋風玻璃遮擋 前檔 反光板 前擋遮陽擋 雙面鋁箔隔熱遮陽板 遮陽檔 太陽檔,Unknown,100640,2,false,59.0,69.0,64.0,0.0,-1.0,false,false,4.818181991577148,253,255,127,false,三五購物 📣全店【商品總額】滿３５元才會出貨喔，如有通知刪單請配合，謝謝📣,臺北市文山區,4.870842933654785,15469,622,63.0,11347,false,1. Under TWD 100,1. No Discount,1. Top Rated,3. Growing (100-499),5. 50+
12762159,4195384,🎀 出清特價Puku藍色企鵝推車把手保護套2入 🎀出清了,PUKU 藍色企鵝,100632,3,false,129.0,170.0,149.5,0.0,-1.0,true,false,4.97802209854126,91,107,82,false,Apple baby,臺南市官田區,4.977773189544678,1643,675,90.0,5654,false,2. TWD 100-499,1. No Discount,1. Top Rated,4. Low Engagement,5. 50+
12981148,2037372,【特品屋】滿千免運 台灣製造 4L EQ05全方位收納箱 收納箱 置物箱 工具箱 玩具箱 小物收納箱,Unknown,100636,1,false,85.0,85.0,85.0,0.0,-1.0,true,false,4.875,16,16,20,false,特品屋居家生活館,新北市蘆洲區,4.960177898406982,6359,1608,99.0,4983,false,1. Under TWD 100,1. No Discount,4. Average,4. Low Engagement,3. 5-19
13271001,3148338,長頸鹿圓領糖果系打底衫 內衣上衣 長袖T恤 必備上衣     👑kiwi小舖  【CC071】,Unknown,100633,1,false,79.0,79.0,79.0,0.0,-1.0,true,false,0.0,0,1,6,false,kiwi小舖,彰化縣和美鎮,4.903653144836426,2901,827,75.0,14796,false,1. Under TWD 100,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
13933945,861145,歌磨 utamaro 魔法家事皂/洗衣皂 133g/1入 除菌 消臭 日本製『山姆百貨』,Unknown,100636,1,false,62.0,62.0,62.0,0.0,-1.0,false,false,5.0,3,3,3,false,『山姆百貨』台北重慶門市最安心,臺北市大同區,4.967658042907715,55194,1613,91.0,8021,false,1. Under TWD 100,1. No Discount,3. Few Reviews,4. Low Engagement,2. 1-4
13966385,530040,✨現貨～日本製 日本熱賣暢銷老字號 純天然 湯之花 萬用超強去汙清潔膏 萬用清潔膏 400g 水垢 霉斑,Unknown,100636,1,false,450.0,450.0,450.0,0.0,-1.0,false,false,0.0,0,0,0,false,日日時光 ,新北市土城區,4.982176780700684,1255,499,100.0,761,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
14063559,4143940,【天隆五金】(附發票) 美國 IRWIN 握手牌 VISE-GRIP 4LN 6LN 9LN 尖嘴萬能鉗,IRWIN TOOLS,100636,3,false,375.0,485.0,430.0,3.0,-1.0,false,false,4.960526466369629,76,74,33,false,天隆五金專賣店~最低出貨金額150(不含運),苗栗縣竹南鎮,4.974703788757324,19469,1856,93.0,7210,false,2. TWD 100-499,2. 1-9%,1. Top Rated,4. Low Engagement,5. 50+
15274577,4476982,<蝦皮3M>【3M】UVA2000紫外線殺菌淨水器專用替換濾心,3M,100010,1,false,2632.0,2632.0,2632.0,12.0,-1.0,true,false,0.0,0,0,1,false,<3M小屋>,臺南市仁德區,4.944846153259277,3580,223,73.0,11449,false,"4. TWD 1,000-2,999",3. 10-19%,3. Few Reviews,4. Low Engagement,1. No Reviews
15762689,4588175,含稅【晨風社】日本製 Maxell 公司貨 SR726W(396) / SR726SW(397) 氧化銀電池,maxell 麥克賽爾,100010,2,false,42.0,45.0,43.5,0.0,-1.0,false,false,4.971930027008057,570,574,87,false,晨風社 專業電池電料批發零售,基隆市暖暖區,4.976950168609619,1828,247,97.0,2323,true,1. Under TWD 100,1. No Discount,1. Top Rated,4. Low Engagement,5. 50+
16113589,4234500,TOMY TOMICA 多美 非賣品 麥當勞 集點 滿額 贈品 粉紅 雙層 漢堡車 漢堡 薯條車 薯條 貨車 卡車,TAKARATOMY,100639,1,true,1250.0,1250.0,1250.0,0.0,-1.0,false,false,5.0,21,23,56,false,samhsu716019,桃園市觀音區,4.991881847381592,1092,961,97.0,2071,false,"4. TWD 1,000-2,999",1. No Discount,2. Well Rated,4. Low Engagement,4. 20-49
16421594,3407541,【三龍法師】招桃花姻緣魅力月老四件套裝組】,Unknown,100636,1,true,3800.0,3800.0,3800.0,0.0,-1.0,true,false,4.990384578704834,104,104,44,false,三龍法師 專業符咒服務,臺南市安南區,4.989160060882568,3485,117,41.0,9873,false,"5. TWD 3,000-9,999",1. No Discount,1. Top Rated,4. Low Engagement,5. 50+
16455328,3132359,萬事捷 護貝膠膜 水藍盒 /一盒110張入 掛號證 識別證 護貝膜 有防靜電特殊處理,萬事捷,100638,7,false,35.0,140.0,87.5,0.0,-1.0,true,false,5.0,16,15,16,false,優購精品館,彰化縣花壇鄉,4.947805881500244,258081,4140,70.0,8675,false,1. Under TWD 100,1. No Discount,4. Average,4. Low Engagement,3. 5-19
16751301,2823365,日版 萬代 BANDAI 刀劍亂舞 轉蛋 軟膠吊飾 內番 其之三 其之二,Unknown,100639,3,true,558.0,650.0,604.0,0.0,-1.0,false,false,5.0,4,4,14,false,坑坑相連通天邊,桃園市中壢區,4.9934587478637695,344,119,57.0,0,false,3. TWD 500-999,1. No Discount,3. Few Reviews,4. Low Engagement,2. 1-4
18367739,2367296,工程計算機 CASIO 公司貨附保卡 保固兩年 卡西歐工程用計算機FX-350ES PLUS 最新款,CASIO 卡西歐,100638,1,false,510.0,510.0,510.0,0.0,-1.0,false,false,4.9610137939453125,513,521,264,false,兒童小部落,臺中市大里區,4.960004806518555,41542,1064,100.0,10740,true,3. TWD 500-999,1. No Discount,1. Top Rated,3. Growing (100-499),5. 50+
