shopId,shopName,shop_location,shop_rating,shop_response_rate,shop_response_time,shop_follower_count,shop_item_count,shop_rating_good,shop_rating_normal,shop_rating_bad,is_official_shop,is_shopee_verified,positive_rating_pct,response_time_bucket,listing_count,avg_price_twd,avg_discount_pct,avg_product_rating,total_ratings,total_comments,total_likes,free_shipping_count,discounted_count,shopee_fulfilled_count,avg_models_count,free_shipping_rate,discount_rate,shopee_fulfilled_rate,total_engagement_score,shop_tier,follower_tier
12238,櫻桃Shop ★ Cherry shop 百貨 飾品 美妝 食品 櫻桃飾品,高雄市鳳山區,4.93209981918335,48.0,15351,58063,330,259783,2846,848,false,false,98.6,2. 1-6 hours,1,29.0,0.0,5.0,12,12,14,0,0,0,1.0,0.0,0.0,0.0,38,2. Power Seller,"1. 10,000+"
12247,克拉克大賣場,新北市中和區,4.927031993865967,45.0,10243,271,945,2044,28,7,false,false,98.32,2. 1-6 hours,1,390.0,0.0,0.0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,3. Established,3. 100-999
12312,☆~佳佳玩具~☆,桃園市楊梅區,4.892374038696289,95.0,6844,72405,4549,142869,2398,1268,false,false,97.5,2. 1-6 hours,1,311.0,0.0,0.0,0,0,1,0,0,0,7.0,0.0,0.0,0.0,1,2. Power Seller,"1. 10,000+"
12335,微風小舖 ,新北市蘆洲區,4.950464248657227,86.0,2648,572,720,3737,16,10,false,false,99.31,1. Under 1 hour,1,630.0,0.0,5.0,2,2,11,0,0,0,1.0,0.0,0.0,0.0,15,3. Established,3. 100-999
12346,百寶袋生活夢工坊-隔日到貨專區-3C、生活、居家用品,新北市汐止區,4.891969203948975,100.0,5244,211628,2865,461894,8809,2554,false,true,97.6,2. 1-6 hours,3,1066.67,34.0,1.67,2,2,6,0,3,0,4.7,0.0,100.0,0.0,10,2. Power Seller,"1. 10,000+"
12353,WECAN Toys,桃園市大溪區,4.976090908050537,84.0,798,6132,176,12691,37,15,false,false,99.59,1. Under 1 hour,3,900.0,0.0,1.67,1,0,4,0,0,0,1.0,0.0,0.0,0.0,5,2. Power Seller,"2. 1,000-9.999"
12361,美國媽咪嬰童用品玩具,臺中市北屯區,4.972981929779053,91.0,8599,11122,719,61069,238,55,false,false,99.52,2. 1-6 hours,1,635.0,0.0,5.0,9,9,6,0,0,0,1.0,0.0,0.0,0.0,24,2. Power Seller,"1. 10,000+"
12395,嘟嘟小舖-生活部屋,臺南市安定區,4.9223737716674805,100.0,1713,169,246,661,11,0,false,false,98.36,1. Under 1 hour,1,200.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,3. Established,3. 100-999
12443,GAMESIR 蓋世小雞 官方旗艦店,桃園市龜山區,4.917102813720703,48.0,8639,376885,96,1319567,18693,3173,true,false,98.37,2. 1-6 hours,2,1615.0,1.5,5.0,2,2,6,0,2,0,2.0,0.0,100.0,0.0,10,1. Official,"1. 10,000+"
12457,DT STORE 快時尚美妝百貨,高雄市三民區,4.957242012023926,78.0,12822,289160,1087,1108538,6481,1315,false,true,99.3,2. 1-6 hours,2,214.5,0.0,5.0,7,7,8,0,0,0,2.0,0.0,0.0,0.0,22,2. Power Seller,"1. 10,000+"
